Player,Cavern,Kraken,Yeti,Dragon,Temple,Shrunk,Mobs,Body,Canyon,Excalibur,Icarus,Celts,Platform
ninja-1103,0:58.201,1:11.401,1:05.550,0:55.834,1:12.249,1:22.150,1:18.429,1:38.951,1:01.786,1:12.450,1:20.649,1:11.701,wiiu
Liptonkeita,0:57.801,1:11.848,1:06.059,0:55.753,1:11.539,1:23.430,1:19.754,1:38.830,1:00.999,1:13.147,1:20.210,1:11.699,wiiu
kawashima681,0:57.951,1:11.851,1:06.955,0:55.978,1:12.268,1:22.248,1:19.096,1:40.649,1:00.701,1:12.465,1:19.765,1:12.834,wiiu
PancakeArchie,0:58.100,1:12.050,1:06.883,0:56.300,1:13.000,1:21.100,1:17.598,1:39.700,1:02.900,1:12.500,1:21.601,1:11.852,xbox
Alprini,0:57.750,1:09.450,1:04.649,0:55.701,1:12.751,1:24.750,1:17.799,1:40.900,1:04.100,1:12.449,1:22.950,1:14.149,ps
EtronCraft,0:58.596,1:12.516,1:02.997,0:55.500,1:10.949,1:23.450,1:19.449,1:39.648,1:02.599,1:14.243,1:23.563,1:14.795,wiiu
ocha_oishi,0:59.150,1:14.549,1:06.880,0:58.010,1:13.747,1:19.892,1:20.567,1:41.165,1:01.001,1:13.500,1:18.751,1:11.611,wiiu
BryceDude_56,1:00.701,1:11.349,1:08.049,0:55.452,1:10.748,1:25.950,1:18.300,1:41.449,1:02.148,1:10.499,1:22.303,1:12.798,ps
RYUMAX_1015,0:57.800,1:12.683,1:03.750,0:56.400,1:13.124,1:25.251,1:19.650,1:39.301,1:01.454,1:13.950,1:24.676,1:14.297,wiiu
TheRealRory,0:59.900,1:11.199,1:07.350,0:55.699,1:16.900,1:20.502,1:20.830,1:40.551,1:04.750,1:12.851,1:18.951,1:14.499,xbox
Kiephie,0:58.771,1:10.803,1:06.350,0:57.100,1:13.649,1:24.351,1:19.500,1:41.800,1:03.311,1:13.200,1:21.850,1:14.249,xbox
BBBenjamin,1:01.346,1:10.251,1:06.051,0:54.348,1:15.400,1:23.401,1:19.348,1:43.900,1:04.797,1:13.002,1:21.402,1:13.598,ps
Sunsheet,1:01.985,1:10.849,1:08.740,0:56.516,1:14.299,1:25.801,1:20.871,1:41.236,1:02.450,1:15.452,1:18.101,1:14.650,wiiu
MGAMER2007,0:59.801,1:13.802,1:07.602,0:55.350,1:14.549,1:24.500,1:19.450,1:43.151,1:04.970,1:14.801,1:23.049,1:14.549,wiiu
Mark_legends,0:58.699,1:13.242,1:05.850,0:56.902,1:14.400,1:27.679,1:21.250,1:45.800,1:03.090,1:16.589,1:25.950,1:16.016,wiiu
Invictyn,0:59.799,1:13.350,1:08.401,0:57.550,1:13.751,1:28.000,1:21.100,1:41.400,1:06.100,1:14.252,1:24.749,1:18.001,xbox
Lucky_GL,0:59.400,1:15.150,1:08.250,0:57.949,1:13.098,1:29.275,1:20.499,1:45.150,1:03.900,1:14.849,1:27.600,1:14.899,ps
Sonder2847,1:01.151,1:12.250,1:09.450,0:58.251,1:14.150,1:28.600,1:19.751,1:41.448,1:04.800,1:14.949,1:28.150,1:17.251,xbox
gold-pause5*,0:56.749,1:09.799,1:05.850,1:00.602,1:10.552,1:44.849,1:17.750,1:41.148,1:05.051,1:12.200,1:30.849,1:14.999,ps
yomogi_612,1:00.852,1:13.500,1:08.399,0:58.149,1:16.301,1:27.074,1:21.350,1:40.552,1:04.466,1:16.580,1:26.964,1:16.414,wiiu
Lung GD,1:02.051,1:13.665,1:09.090,0:56.850,1:15.849,1:27.786,1:21.100,1:43.895,1:05.483,1:13.601,1:24.596,1:17.400,ps
Shivze,1:02.100,1:10.840,1:10.050,0:56.552,1:13.201,1:28.900,1:22.749,1:43.300,1:07.840,1:16.169,1:27.741,1:12.737,wiiu
NightDrago,1:00.499,1:15.199,1:08.553,0:57.849,1:14.299,1:28.650,1:20.168,1:40.970,1:03.798,1:17.076,1:33.910,1:16.150,wiiu
alliegator2004,1:01.527,1:13.650,1:10.300,0:59.300,1:14.150,1:32.250,1:21.550,1:44.001,1:07.700,1:16.250,1:24.450,1:17.699,xbox
JohnnyBGood,1:01.499,1:13.700,1:09.351,0:59.050,1:15.700,1:27.786,1:21.950,1:45.809,1:07.648,1:18.150,1:27.799,1:20.001,xbox
Colby0713,1:03.250,1:14.600,1:10.050,0:59.350,1:16.699,1:27.900,1:21.100,1:43.749,1:07.400,1:17.551,1:29.850,1:20.849,xbox
Jake GBM,0:59.050,1:17.901,1:13.099,0:57.801,1:15.150,1:30.800,1:19.200,1:47.550,1:04.883,1:17.200,1:35.850,1:14.699,xbox
VelocityDavi,1:03.099,1:14.599,1:10.551,0:57.750,1:15.600,1:34.059,1:21.600,1:46.648,1:06.500,1:15.551,1:28.281,1:19.966,xbox
Pizza Thief27*,1:03.251,1:12.800,1:10.613,1:01.050,1:14.850,1:33.451,1:21.100,1:42.901,1:06.000,1:16.449,1:29.978,1:22.351,xbox
Skye0891,1:00.000,1:14.371,1:08.740,0:57.051,1:12.311,1:24.201,1:26.548,1:48.370,1:18.197,1:18.699,1:26.648,1:20.751,wiiu
Aries Hoax,0:58.850,1:14.851,1:11.801,0:55.399,1:18.751,1:41.859,1:23.251,1:44.149,1:02.350,1:19.350,1:32.951,1:15.651,ps
ApexSpotLighT,1:03.200,1:15.251,1:10.049,0:55.149,1:16.550,1:41.190,1:21.949,1:46.965,1:05.799,1:13.051,1:28.751,1:22.434,xbox
youta_sasa,0:59.952,1:19.748,1:11.963,1:00.497,1:14.896,1:32.169,1:22.945,1:45.850,1:04.450,1:17.797,1:32.250,1:18.928,wiiu
Carnge TC,1:01.650,1:16.750,1:10.000,0:59.100,1:17.001,1:30.450,1:22.799,1:47.550,1:07.500,1:18.951,1:27.402,1:23.249,xbox
myao-ninid,0:59.699,1:17.000,1:13.000,0:59.150,1:14.448,1:32.000,1:23.699,1:48.000,1:05.449,1:17.000,1:26.000,1:27.000,wiiu
Lxkdd(llIlI-lllll),0:59.699,1:18.151,1:10.849,0:58.852,1:17.901,1:34.950,1:24.450,1:47.949,1:05.599,1:17.048,1:29.701,1:21.700,ps
Its-Color,1:01.050,1:11.500,1:08.401,0:59.801,1:17.903,1:42.799,1:23.054,1:46.842,1:06.400,1:21.578,1:21.750,1:27.798,xbox
MutedPaladin12,1:03.051,1:18.850,1:11.299,1:02.400,1:14.801,1:34.904,1:24.119,1:46.516,1:06.756,1:15.650,1:33.051,1:21.438,xbox
jespergran,1:02.800,1:15.049,1:09.950,1:03.250,1:18.451,1:35.299,1:22.150,1:45.250,1:10.650,1:22.724,1:27.446,1:20.699,ps
splinters24hr,1:03.950,1:16.401,1:11.315,0:59.800,1:18.351,1:33.605,1:25.268,1:48.863,1:10.449,1:18.816,1:26.050,1:22.486,xbox
justforj8*,1:03.549,1:16.800,1:11.100,1:00.999,1:16.600,1:36.201,1:23.049,1:47.199,1:09.699,1:18.499,1:30.036,1:23.850,xbox
NerrowSeeker807,1:04.463,1:14.500,1:10.401,1:05.500,1:18.302,1:30.450,1:24.448,1:48.649,1:08.302,1:18.899,1:33.151,1:26.649,xbox
KenTori_0620,1:04.302,1:19.398,1:14.628,1:01.250,1:19.584,1:36.950,1:24.851,1:47.899,1:10.301,1:19.081,1:31.855,1:18.250,wiiu
GlideMaster (Xbox),1:02.900,1:16.499,1:09.349,0:59.450,1:17.152,1:29.500,1:22.249,1:42.499,1:18.751,1:16.603,1:41.551,1:32.850,xbox
XxAcer67xX,1:04.450,1:15.849,1:10.850,1:00.100,1:18.950,1:41.199,1:24.700,1:48.602,1:09.450,1:17.801,1:33.299,1:24.651,xbox
Dr Creepeer,1:02.801,1:16.000,1:11.750,1:01.881,1:18.350,1:41.618,1:24.099,1:46.997,1:14.000,1:18.700,1:36.250,1:22.601,xbox
HSAplaymaker,1:02.302,1:10.950,1:07.750,0:58.301,1:15.400,1:49.453,1:19.909,1:49.334,1:06.149,1:18.919,1:34.108,1:46.751,xbox
BlackBullClan,1:05.463,1:20.173,1:13.225,1:02.904,1:19.146,1:44.678,1:25.000,1:52.766,1:12.018,1:20.848,1:38.149,1:21.585,ps
ATWtheArrow0307,1:06.500,1:18.300,1:12.549,1:02.718,1:19.849,1:46.202,1:25.084,1:49.202,1:14.248,1:19.600,1:35.000,1:30.149,xbox
chandlerponygirl,1:06.650,1:20.701,1:14.634,1:01.600,1:19.699,1:44.750,1:27.249,1:49.718,1:14.050,1:27.520,1:30.249,1:26.656,ps
nicotuppen76,1:01.051,1:22.702,1:17.050,1:01.249,1:20.546,1:49.543,1:27.950,1:51.251,1:07.150,1:24.749,1:36.602,1:31.449,ps
Parr666,1:08.851,1:19.800,1:11.601,1:06.099,1:29.102,1:42.800,1:27.399,1:50.099,1:15.249,1:20.800,1:35.351,1:24.750,xbox
h210515,0:59.700,1:19.800,1:12.849,1:04.901,1:23.953,1:53.597,1:26.650,1:55.351,1:09.434,1:21.950,1:40.574,1:23.903,wiiu
Invisible_boy_10,1:04.434,1:24.450,1:11.351,0:59.250,1:18.749,1:28.882,1:24.535,1:47.975,1:09.984,1:47.279,1:48.502,1:28.401,ps
THEFUTERISTICS,1:06.648,1:29.450,1:12.949,1:04.399,1:23.252,1:42.132,1:29.614,1:52.471,1:16.098,1:21.851,1:38.598,1:27.950,ps
Shotz_of_Lead,1:01.672,1:16.850,1:11.151,0:58.377,1:20.900,1:47.752,1:28.727,1:46.650,1:16.799,1:48.561,1:32.051,1:38.737,ps
TheGoodBro379,1:07.159,1:24.499,1:13.451,1:04.801,1:22.459,2:01.600,1:27.328,1:47.902,1:17.348,1:23.799,1:34.799,1:32.400,ps
Sparticusink,1:13.617,1:23.270,1:15.547,1:04.401,1:22.100,1:43.906,1:28.466,1:53.585,1:16.849,1:31.600,1:36.868,1:30.219,ps
Gamer Master062,1:05.601,1:20.400,1:13.900,1:06.900,1:23.151,1:49.151,1:29.100,1:54.051,1:16.151,1:29.749,1:44.584,1:28.950,xbox
Staboons,1:08.499,1:22.116,1:14.396,1:07.723,1:27.301,1:49.598,1:28.174,1:51.099,1:18.499,1:28.985,1:34.372,1:32.592,ps
SquareLake9087,1:06.799,1:16.451,1:09.900,1:06.949,1:20.099,2:02.191,1:27.899,1:51.850,1:20.920,1:24.950,1:44.148,1:32.863,ps
ElPandaDelNorte,1:05.299,1:18.101,1:14.278,1:00.866,1:22.749,2:05.067,1:38.252,2:20.898,1:12.548,1:22.350,1:26.619,1:19.948,ps
PTTTN,1:04.388,1:18.751,1:13.710,1:03.649,1:19.551,1:54.383,1:26.451,1:52.299,1:12.534,1:33.300,1:53.205,1:35.887,xbox
mosta28,1:07.246,1:25.900,1:18.228,1:06.199,1:26.500,1:49.452,1:29.550,1:51.101,1:20.881,1:24.893,1:38.948,1:30.637,ps
SirToronja,1:07.417,1:20.450,1:13.099,1:07.102,1:27.501,1:53.800,1:34.100,1:51.500,1:17.749,1:26.899,1:39.351,1:31.754,xbox
lisszilla,1:09.801,1:24.352,1:18.036,1:07.701,1:27.267,1:50.444,1:31.779,1:54.797,1:18.148,1:26.731,1:39.443,1:28.720,xbox
SaphirO ,1:08.703,1:25.354,1:18.955,1:07.598,1:27.610,1:47.583,1:31.852,1:56.252,1:15.933,1:24.901,1:40.769,1:33.057,ps
ymalkov,1:06.799,1:24.898,1:16.751,1:06.150,1:29.750,1:50.050,1:32.648,1:54.200,1:17.899,1:30.649,1:37.150,1:31.650,xbox
awof1001,1:07.400,1:20.947,1:10.998,1:06.345,1:21.198,1:59.552,1:31.382,2:01.820,1:21.765,1:29.901,1:42.268,1:27.399,ps
TheFighter137,1:08.165,1:27.147,1:19.586,1:12.281,1:28.300,1:51.128,1:31.421,1:51.612,1:17.784,1:27.005,1:40.291,1:33.050,ps
WebStrike445,1:09.183,1:23.598,1:18.813,1:07.398,1:27.165,1:52.049,1:34.647,1:58.250,1:19.567,1:29.888,1:38.846,1:34.950,ps
ETHODY77,1:10.065,1:23.150,1:15.800,1:05.599,1:29.781,1:47.623,1:29.818,2:07.109,1:20.608,1:27.499,1:41.881,1:40.671,xbox
RYNnDAD85618,1:04.628,1:32.598,1:25.600,1:12.501,1:18.962,1:58.286,1:30.348,1:48.569,1:17.049,1:42.951,1:35.547,1:32.887,ps
xeno_morph121,1:08.601,1:28.902,1:18.852,1:08.450,1:26.855,1:51.599,1:37.701,1:56.551,1:17.261,1:33.449,1:43.772,1:28.325,ps
Uyjip,1:16.001,1:24.047,1:19.393,1:12.528,1:30.274,1:51.321,1:31.098,1:53.417,1:19.899,1:33.889,1:41.268,1:28.865,ps
syncxdd,1:09.553,1:28.249,1:16.049,1:06.750,1:24.108,1:54.799,1:34.201,1:57.750,1:17.250,1:34.850,1:46.402,1:32.298,ps
Candymmm-_-*,1:07.121,1:24.782,1:15.319,1:05.800,1:21.661,2:02.928,1:30.000,1:58.052,1:04.148,1:55.267,1:33.747,1:43.872,ps
SleeplessMass91,1:03.851,1:30.950,1:23.650,1:15.757,1:21.600,1:52.299,1:32.403,1:49.002,1:12.549,1:34.950,1:33.090,1:53.821,xbox
WortGnom211675,1:07.400,1:27.099,1:18.900,1:08.484,1:25.851,1:57.604,1:35.566,1:54.467,1:17.400,1:32.901,1:49.492,1:37.435,xbox
MasonRedPnda,1:08.849,1:23.549,1:20.312,1:05.018,1:26.650,2:02.482,1:36.951,2:02.350,1:17.669,1:36.899,1:39.300,1:34.511,xbox
PointingPointy,1:06.300,1:27.934,1:17.250,1:14.150,1:25.300,2:03.749,1:33.599,1:58.000,1:15.750,1:36.438,1:47.556,1:28.851,xbox
WornClient48305,1:04.648,1:21.250,1:16.999,1:05.750,1:22.833,1:57.301,1:24.900,1:55.051,1:09.950,1:38.799,2:27.313,1:31.249,xbox
youkanyuuki,1:01.800,1:16.950,1:37.615,1:01.500,1:15.801,1:43.605,1:32.051,1:53.863,1:08.100,1:25.051,2:25.396,1:56.202,ps
TooLegit4urSH_-,1:09.287,1:30.101,1:37.700,1:07.406,1:26.180,1:48.810,1:29.030,1:53.214,1:19.501,1:35.325,1:53.118,1:30.365,ps
SuperLiamZ,1:03.351,1:25.749,1:17.150,1:14.549,1:25.500,2:05.013,1:30.001,1:53.901,1:22.098,1:36.001,1:52.338,1:38.448,xbox
inukawaiisuki888,0:59.902,1:47.999,1:22.370,1:30.455,1:15.799,1:54.307,1:31.999,1:55.849,1:05.599,1:38.333,1:43.373,1:43.999,wiiu
kingmaximus721,1:05.499,1:22.334,1:12.750,1:07.550,1:25.037,2:11.167,1:34.885,2:06.484,1:26.964,1:38.067,1:46.952,1:33.949,xbox
GL blur(F7 Blur GL),1:08.400,1:31.748,1:16.022,1:06.250,1:27.250,2:27.504,1:40.400,1:58.402,1:21.030,1:31.199,1:38.546,1:26.650,xbox
joshurn,1:09.333,1:30.150,1:23.902,1:03.051,1:28.601,2:00.601,1:42.463,1:47.899,1:17.590,1:43.783,1:48.819,1:40.549,ps
xXGR4VITYXx7065,1:07.650,1:32.100,1:28.350,1:18.700,1:35.551,2:15.998,1:30.951,1:51.734,1:17.950,1:38.601,1:38.100,1:28.986,xbox
UF_C2-UwU,1:14.350,1:28.600,1:14.977,1:29.706,1:27.100,2:07.199,1:34.409,1:55.608,1:23.848,1:41.087,1:36.402,1:35.045,ps
deltaTREE2345,1:06.949,1:23.000,1:16.414,1:05.351,1:24.051,2:05.648,1:39.635,2:00.267,1:17.549,1:45.602,1:55.383,1:51.954,xbox
s_o_l_l_i_e,1:13.798,1:27.250,1:25.145,1:20.105,1:31.818,2:00.651,1:33.847,1:56.108,1:25.996,1:33.399,1:46.673,1:37.709,ps
Chickysamich,1:06.200,1:28.679,1:26.141,1:21.236,1:22.050,2:09.234,1:35.714,2:04.205,1:15.750,1:39.435,1:52.901,1:39.702,xbox
DaemonKatt,1:11.682,1:28.251,1:22.317,1:17.416,1:30.417,2:10.696,1:37.935,1:59.949,1:22.750,1:36.249,1:50.873,1:39.312,xbox
Tempzrr,1:09.849,1:29.899,1:28.620,1:18.899,1:24.899,1:59.819,1:37.157,1:59.401,1:21.150,1:35.800,2:00.500,1:44.551,ps
OnyxRubyFTW,1:18.564,1:31.847,1:23.998,1:21.418,1:37.038,2:02.166,1:41.229,2:00.848,1:32.120,1:39.124,1:49.437,1:40.779,ps
UnitONE XD,1:05.700,1:31.653,1:28.169,1:37.261,1:21.000,1:47.155,1:26.600,1:48.600,1:09.801,1:58.702,2:01.346,2:35.850,xbox
YogigamingYT,1:11.253,1:36.950,1:33.130,1:23.772,1:31.500,2:11.150,1:40.336,2:11.500,1:22.576,1:39.164,1:59.015,1:41.014,ps
Tsunami7439,1:16.999,1:32.607,1:22.373,1:13.256,1:30.899,1:58.600,2:18.397,2:29.800,1:26.867,1:32.750,1:49.485,1:39.884,xbox
SkyCloud1814,1:15.256,1:32.299,1:33.756,1:21.751,1:35.151,2:06.481,1:54.541,1:58.236,1:39.044,1:49.523,1:50.401,1:44.297,ps
popular_shadow,1:08.439,1:32.149,1:33.152,1:22.801,1:25.732,2:13.590,1:41.952,2:04.857,1:22.570,2:22.108,1:53.285,1:49.267,ps
GoldenShark2401,1:09.316,1:31.268,1:24.252,1:23.880,1:24.535,2:12.917,2:14.001,2:06.850,1:17.001,2:17.261,2:01.084,1:46.691,ps
v---MASON---v,1:14.367,1:36.139,1:38.798,1:34.985,1:38.503,2:21.164,1:45.713,2:11.015,1:26.786,1:52.112,2:08.319,1:47.051,ps
D7OOM_-_2007,0:59.549,1:31.504,1:35.123,1:11.552,1:14.749,3:06.585,1:34.566,1:55.011,1:04.800,2:15.737,2:35.051,2:11.351,ps
Sushi,1:09.698,1:37.500,1:40.000,1:38.520,1:51.606,2:24.034,1:43.733,2:13.817,1:36.683,1:50.000,2:01.820,1:53.899,wiiu
AbsenteeCrown3,1:04.151,1:23.200,1:42.106,1:41.999,1:35.050,2:48.899,1:48.049,2:35.650,1:40.720,1:38.949,1:34.950,2:34.198,xbox
bugb0y0,1:02.301,1:49.850,1:27.901,1:38.968,1:13.652,2:16.651,2:14.950,2:15.149,1:31.184,2:25.623,2:23.533,2:20.503,xbox
soga497,1:14.999,1:40.270,1:45.493,1:39.657,1:27.951,2:24.140,2:32.105,2:07.729,1:43.894,2:13.395,2:10.107,1:49.882,wiiu
Crystal034_,1:41.312,1:43.357,1:34.506,1:42.440,1:52.648,2:51.033,1:50.428,2:35.148,1:41.400,1:59.484,2:15.914,2:14.545,ps
